system	prompt	primary_color	palette
3do	Detailed pixel-art poster, 1280x720, of the 3DO (Panasonic 1993) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #d4a53a; neon rim light; glowing marquee sign reading "3DO". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	d4a53a	FF0000,0000A0,FFE41B,23B14D
adam	Detailed pixel-art poster, 1280x720, of the Coleco Adam (Coleco 1983) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5A93AF; neon rim light; glowing marquee sign reading "Coleco Adam". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5A93AF	999999,777777,555555,333333
ags	Detailed pixel-art poster, 1280x720, of the Adventure Game Studio (Chris Jones 1997) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4B73E0; neon rim light; glowing marquee sign reading "Adventure Game Studio". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4B73E0	9FCFFF,63B6FF,2C90FF,9FCFFF
amiga	Detailed pixel-art poster, 1280x720, of the Amiga (Commodore 1985) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #336ec8; neon rim light; glowing marquee sign reading "Amiga". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	336ec8	477AB1,82B030,F3EB08,E85629
amiga1200	Detailed pixel-art poster, 1280x720, of the Amiga 1200 (Commodore 1992) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2671C6; neon rim light; glowing marquee sign reading "Amiga 1200". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2671C6	192753,5F87C0,F3AD2D,ED2224
amiga600	Detailed pixel-art poster, 1280x720, of the Amiga 600 (Commodore 1985) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #C171A5; neon rim light; glowing marquee sign reading "Amiga 600". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	C171A5	192753,5BA079,F9EA38,ED2224
amigacd32	Detailed pixel-art poster, 1280x720, of the Amiga CD32 (Commodore 1993) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #e95535; neon rim light; glowing marquee sign reading "Amiga CD32". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	e95535	FF5853,47DEBA,FFDF46,4A9BE4
amstradcpc	Detailed pixel-art poster, 1280x720, of the Amstrad CPC (Amstrad 1984) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #517d9f; neon rim light; glowing marquee sign reading "Amstrad CPC". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	517d9f	E91C23,00A651,1C75BC,3E3E3E
android	Detailed pixel-art poster, 1280x720, of the Google Android (Google 2008) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2ec681; neon rim light; glowing marquee sign reading "Google Android". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2ec681	4086F4,EB4132,FBBD00,31AA52
androidapps	Detailed pixel-art poster, 1280x720, of the Android Apps (Google 2008) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5A9035; neon rim light; glowing marquee sign reading "Android Apps". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5A9035	4086F4,EB4132,FBBD00,31AA52
androidgames	Detailed pixel-art poster, 1280x720, of the Android Games (Google 2008) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5A9035; neon rim light; glowing marquee sign reading "Android Games". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5A9035	4086F4,EB4132,FBBD00,31AA52
apple2	Detailed pixel-art poster, 1280x720, of the Apple II (Apple 1977) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #1a9ee4; neon rim light; glowing marquee sign reading "Apple II". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	1a9ee4	009DDC,E03A3E,FDB827,61BB46
apple2gs	Detailed pixel-art poster, 1280x720, of the Apple IIGS (Apple 1986) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4c69d6; neon rim light; glowing marquee sign reading "Apple IIGS". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4c69d6	D27C35,C44243,E3AD3A,8C3E8C
arcade	Detailed pixel-art poster, 1280x720, of the Arcade (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5a64bb; neon rim light; glowing marquee sign reading "Arcade". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5a64bb	FA6E0D,FCCD0A,032EC0,459FD0
arcadia	Detailed pixel-art poster, 1280x720, of the Arcadia 2001 (Emerson Radio 1982) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #D59234; neon rim light; glowing marquee sign reading "Arcadia 2001". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	D59234	1E35A0,2FBB37,C70A11,000000
archimedes	Detailed pixel-art poster, 1280x720, of the Acorn Archimedes (Acorn 1987) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #008CAC; neon rim light; glowing marquee sign reading "Acorn Archimedes". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	008CAC	999999,777777,555555,333333
arduboy	Detailed pixel-art poster, 1280x720, of the Arduboy (Kevin Bates 2015) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5F459C; neon rim light; glowing marquee sign reading "Arduboy". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5F459C	BA6FDB,8B2DB4,8664E3,6442C1
astrocade	Detailed pixel-art poster, 1280x720, of the Bally Astrocade (Bally 1977) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #dc9230; neon rim light; glowing marquee sign reading "Bally Astrocade". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	dc9230	F2B101,FA0105,F8F6EA,C47401
atari2600	Detailed pixel-art poster, 1280x720, of the Atari 2600 (Atari 1977) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c53a34; neon rim light; glowing marquee sign reading "Atari 2600". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c53a34	6D391F,D4282D,D1E0EE,222222
atari5200	Detailed pixel-art poster, 1280x720, of the Atari 5200 (Atari 1982) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3b589d; neon rim light; glowing marquee sign reading "Atari 5200". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3b589d	1E6547,CFA634,973E3A,1C6EB8
atari7800	Detailed pixel-art poster, 1280x720, of the Atari 7800 (Atari 1986) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2777cc; neon rim light; glowing marquee sign reading "Atari 7800". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2777cc	BABBBD,AA2C39,A7B0B5,333333
atari800	Detailed pixel-art poster, 1280x720, of the Atari 800 (Atari 1979) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #d1923d; neon rim light; glowing marquee sign reading "Atari 800". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	d1923d	B6B896,EBD335,5D3615,BF9438
atarijaguar	Detailed pixel-art poster, 1280x720, of the Atari Jaguar (Atari 1993) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #da493b; neon rim light; glowing marquee sign reading "Atari Jaguar". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	da493b	FF0000,FDC007,232326,0F0E0E
atarijaguarcd	Detailed pixel-art poster, 1280x720, of the Atari Jaguar CD (Atari 1995) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #da493b; neon rim light; glowing marquee sign reading "Atari Jaguar CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	da493b	FF0000,3F3E3E,FDC007,232326
atarilynx	Detailed pixel-art poster, 1280x720, of the Atari Lynx (Atari 1989) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #ea9830; neon rim light; glowing marquee sign reading "Atari Lynx". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	ea9830	FD6420,404040,F38900,262626
atarist	Detailed pixel-art poster, 1280x720, of the Atari ST (Atari 1985) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #007dd6; neon rim light; glowing marquee sign reading "Atari ST". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	007dd6	172E7E,3C62A7,000000,ECECEC
atarixe	Detailed pixel-art poster, 1280x720, of the Atari XE (Atari 1987) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2F7BC7; neon rim light; glowing marquee sign reading "Atari XE". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2F7BC7	E1D095,ADC7EF,8F8F91,B9A9CE
atomiswave	Detailed pixel-art poster, 1280x720, of the Atomiswave (Sammy 2003) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #31ac73; neon rim light; glowing marquee sign reading "Atomiswave". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	31ac73	C11127,FF6B00,04EF94,029205
auto-allgames	Detailed pixel-art poster, 1280x720, of the All Games (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "All Games". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
auto-favorites	Detailed pixel-art poster, 1280x720, of the Favorites (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "Favorites". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
auto-lastplayed	Detailed pixel-art poster, 1280x720, of the Last Played (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "Last Played". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
bbcmicro	Detailed pixel-art poster, 1280x720, of the BBC Micro (Acorn 1981) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B6559; neon rim light; glowing marquee sign reading "BBC Micro". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B6559	1F0200,F9F8E1,AE492D,635B4F
c64	Detailed pixel-art poster, 1280x720, of the Commodore 64 (Commodore 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0a58b2; neon rim light; glowing marquee sign reading "Commodore 64". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0a58b2	BBAD93,968971,FD4120,00A0C6
cdimono1	Detailed pixel-art poster, 1280x720, of the Philips CD-i (Philips 1991) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c47ca6; neon rim light; glowing marquee sign reading "Philips CD-i". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c47ca6	000000,E70000,FFFFFF,0B5ED8
cdtv	Detailed pixel-art poster, 1280x720, of the CDTV (Commodore 1991) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #7865be; neon rim light; glowing marquee sign reading "CDTV". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	7865be	C86388,6F62E8,1CA6F1,F62717
chailove	Detailed pixel-art poster, 1280x720, of the ChaiLove Framework (ChaiLove Team 2017) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #26AAE0; neon rim light; glowing marquee sign reading "ChaiLove Framework". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	26AAE0	0080E8,AEE7FF,EA316E,25AAE1
channelf	Detailed pixel-art poster, 1280x720, of the Fairchild Channel F (Fairchild 1976) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #d19617; neon rim light; glowing marquee sign reading "Fairchild Channel F". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	d19617	E0E0E0,91FFA6,CED0FF,4B3FF3
coco	Detailed pixel-art poster, 1280x720, of the Tandy CoCo (Tandy Corporation 1980) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #D1AA41; neon rim light; glowing marquee sign reading "Tandy CoCo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	D1AA41	498CC1,197123,555555,AE1F19
colecovision	Detailed pixel-art poster, 1280x720, of the ColecoVision (Coleco 1982) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #e9663e; neon rim light; glowing marquee sign reading "ColecoVision". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	e9663e	EF8185,F3994B,FADD2F,A4DDF0
completed	Detailed pixel-art poster, 1280x720, of the Completed (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "Completed". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
consolearcade	Detailed pixel-art poster, 1280x720, of the Console Arcade Games (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B60B7; neon rim light; glowing marquee sign reading "Console Arcade Games". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B60B7	F6DD08,800000,FF0000,303030
cps	Detailed pixel-art poster, 1280x720, of the Capcom Play System (Capcom 1988) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #f1cb47; neon rim light; glowing marquee sign reading "Capcom Play System". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	f1cb47	FFCB04,034EA2,FAFAFA,111111
cps1	Detailed pixel-art poster, 1280x720, of the CPS-I (Capcom 1988) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #f1cb47; neon rim light; glowing marquee sign reading "CPS-I". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	f1cb47	FAFAFA,FFCB04,034EA2,111111
cps2	Detailed pixel-art poster, 1280x720, of the CPS-II (Capcom 1993) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #f1cb47; neon rim light; glowing marquee sign reading "CPS-II". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	f1cb47	034EA2,FAFAFA,FFCB04,111111
cps3	Detailed pixel-art poster, 1280x720, of the CPS-III (Capcom 1996) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #efcb47; neon rim light; glowing marquee sign reading "CPS-III". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	efcb47	FAFAFA,034EA2,111111,FFCB04
crvision	Detailed pixel-art poster, 1280x720, of the CreatiVision (VTech 1982) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #D59234; neon rim light; glowing marquee sign reading "CreatiVision". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	D59234	CCA656,9F7C64,E0CC75,F09734
custom-collections	Detailed pixel-art poster, 1280x720, of the Custom Collections (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "Custom Collections". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
daphne	Detailed pixel-art poster, 1280x720, of the Daphne (Matt Ownby 2007) emulator as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #ffbd23; neon rim light; glowing marquee sign reading "Daphne". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	ffbd23	DEBA27,856125,DC110B,D8D3BD
desktop	Detailed pixel-art poster, 1280x720, of the Desktop Shorcuts (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #39B1DE; neon rim light; glowing marquee sign reading "Desktop Shorcuts". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	39B1DE	5475B7,503E7A,A05745,5C5599
doom	Detailed pixel-art poster, 1280x720, of the Doom (id Software 1993) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #A11321; neon rim light; glowing marquee sign reading "Doom". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	A11321	33709F,DFDED1,D37112,A63417
dos	Detailed pixel-art poster, 1280x720, of the MS-DOS (Microsoft 1981) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2d61c1; neon rim light; glowing marquee sign reading "MS-DOS". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2d61c1	FDC20F,8461A9,CA1A15,111111
dragon32	Detailed pixel-art poster, 1280x720, of the Dragon 32 (Dragon Data 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #309496; neon rim light; glowing marquee sign reading "Dragon 32". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	309496	F50019,FBFA35,74B719,3262D9
dreamcast	Detailed pixel-art poster, 1280x720, of the Dreamcast (Sega 1998) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #497ed9; neon rim light; glowing marquee sign reading "Dreamcast". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	497ed9	C1C3C2,3E649F,030303,E4E5E4
easyrpg	Detailed pixel-art poster, 1280x720, of the EasyRPG (EasyRPG Team 2007) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B9036; neon rim light; glowing marquee sign reading "EasyRPG". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B9036	88BA68,555554,838382,4B6D35
electron	Detailed pixel-art poster, 1280x720, of the Acorn Electron (Acorn 1983) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3F9B5B; neon rim light; glowing marquee sign reading "Acorn Electron". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3F9B5B	999999,777777,555555,333333
emulators	Detailed pixel-art poster, 1280x720, of the Emulators (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #39B1DE; neon rim light; glowing marquee sign reading "Emulators". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	39B1DE	F6DD08,800000,FF0000,303030
epic	Detailed pixel-art poster, 1280x720, of the Epic Games Store (Epic 2018) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #8BA7AE; neon rim light; glowing marquee sign reading "Epic Games Store". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	8BA7AE	FFFFFF,777777,343434,35C4EE
famicom	Detailed pixel-art poster, 1280x720, of the Famicom (Nintendo 1983) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c43d41; neon rim light; glowing marquee sign reading "Famicom". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c43d41	EA2C27,E6E7E8,C0A987,AA1A41
fba	Detailed pixel-art poster, 1280x720, of the FinalBurn Alpha (FBA Team 2000) emulator as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B60B7; neon rim light; glowing marquee sign reading "FinalBurn Alpha". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B60B7	CF8A61,FE7B07,231F20,FFFFFF
fbneo	Detailed pixel-art poster, 1280x720, of the FinalBurn Neo (FBA Team 2002) emulator as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5a64bb; neon rim light; glowing marquee sign reading "FinalBurn Neo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5a64bb	C0392B,CF8A61,231F20,FFFFFF
fds	Detailed pixel-art poster, 1280x720, of the Famicom Disk System (Nintendo 1986) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c43d41; neon rim light; glowing marquee sign reading "Famicom Disk System". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c43d41	A71636,C7AF89,3C3C3B,F4B600
flash	Detailed pixel-art poster, 1280x720, of the Adobe Flash (Macromedia 1996) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #B92E34; neon rim light; glowing marquee sign reading "Adobe Flash". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	B92E34	FFFFFF,4A0000,B11313,710000
fm7	Detailed pixel-art poster, 1280x720, of the FM-7 (Fujitsu 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #E8B229; neon rim light; glowing marquee sign reading "FM-7". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	E8B229	999999,777777,555555,333333
fmtowns	Detailed pixel-art poster, 1280x720, of the FM Towns (Fujitsu 1989) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #6d8efd; neon rim light; glowing marquee sign reading "FM Towns". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	6d8efd	9D9D9D,009971,606875,151619
fpinball	Detailed pixel-art poster, 1280x720, of the Future Pinball (C. Leathley 2005) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #7dc7ea; neon rim light; glowing marquee sign reading "Future Pinball". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	7dc7ea	F6DD08,800000,FF0000,303030
gamate	Detailed pixel-art poster, 1280x720, of the Gamate (Bit Corp. 1990) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #C53745; neon rim light; glowing marquee sign reading "Gamate". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	C53745	999999,777777,555555,333333
gameandwatch	Detailed pixel-art poster, 1280x720, of the Game & Watch (Nintendo 1980) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #8ca3ae; neon rim light; glowing marquee sign reading "Game & Watch". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	8ca3ae	C4353D,C2904A,853641,4C301C
gamecom	Detailed pixel-art poster, 1280x720, of the Game.com (Tiger Elec. 1997) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #54a4b6; neon rim light; glowing marquee sign reading "Game.com". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	54a4b6	71829A,293039,AE2B2B,186DA4
gamegear	Detailed pixel-art poster, 1280x720, of the Game Gear (Sega 1990) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #306db2; neon rim light; glowing marquee sign reading "Game Gear". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	306db2	CCCBCB,D41808,008200,0000FE
gb	Detailed pixel-art poster, 1280x720, of the Game Boy (Nintendo 1989) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3c528d; neon rim light; glowing marquee sign reading "Game Boy". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3c528d	9B2063,2D308E,D9D9D9,A3A3A3
