system	prompt	primary_color	palette
gba	Detailed pixel-art poster, 1280x720, of the Game Boy Advance (Nintendo 2001) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4875db; neon rim light; glowing marquee sign reading "Game Boy Advance". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4875db	5C67A9,280FBE,BCBCBC,212121
gbah	Detailed pixel-art poster, 1280x720, of the GBA Hacks (Nintendo 2001) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4875db; neon rim light; glowing marquee sign reading "GBA Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4875db	5C67A9,280FBE,BCBCBC,212121
gbc	Detailed pixel-art poster, 1280x720, of the Game Boy Color (Nintendo 1998) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #fbb625; neon rim light; glowing marquee sign reading "Game Boy Color". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	fbb625	F63B77,2D308E,00B3DE,7642B6
gbch	Detailed pixel-art poster, 1280x720, of the GBC Hacks (Nintendo 1998) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #fbb625; neon rim light; glowing marquee sign reading "GBC Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	fbb625	F63B77,2D308E,00B3DE,7642B6
gbh	Detailed pixel-art poster, 1280x720, of the Game Boy Hacks (Nintendo 1989) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3c528d; neon rim light; glowing marquee sign reading "Game Boy Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3c528d	9B2063,2D308E,D9D9D9,A3A3A3
gc	Detailed pixel-art poster, 1280x720, of the GameCube (Nintendo 2001) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #958bf4; neon rim light; glowing marquee sign reading "GameCube". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	958bf4	7B79AA,524C82,CBC9E0,1E1C11
genesis	Detailed pixel-art poster, 1280x720, of the Sega Genesis (Sega 1989) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c23b2c; neon rim light; glowing marquee sign reading "Sega Genesis". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c23b2c	D2D2D2,488277,3E64AE,811B15
genh	Detailed pixel-art poster, 1280x720, of the Sega Genesis Hacks (Sega 1989) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #B52D2E; neon rim light; glowing marquee sign reading "Sega Genesis Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	B52D2E	D2D2D2,488277,3E64AE,811B15
gmaster	Detailed pixel-art poster, 1280x720, of the Game Master (Hartung 1990) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #83A9B0; neon rim light; glowing marquee sign reading "Game Master". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	83A9B0	F6DD08,800000,FF0000,303030
gx4000	Detailed pixel-art poster, 1280x720, of the GX4000 (Amstrad 1990) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #e85638; neon rim light; glowing marquee sign reading "GX4000". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	e85638	E5B3B2,9E4968,DBD9D4,C02520
intellivision	Detailed pixel-art poster, 1280x720, of the Intellivision (Mattel 1979) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #ef830f; neon rim light; glowing marquee sign reading "Intellivision". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	ef830f	D4C1A0,2B201D,C81A7C,C8D463
j2me	Detailed pixel-art poster, 1280x720, of the J2ME (Oracle 1998) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #F8981D; neon rim light; glowing marquee sign reading "J2ME". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	F8981D	F58219,4E7896,EE3537,1F4394
kodi	Detailed pixel-art poster, 1280x720, of the Kodi (XBMC Fdn. 2002) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #00141F; neon rim light; glowing marquee sign reading "Kodi". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	00141F	186AAC,36A2CD,448F38,BF2E31
laserdisc	Detailed pixel-art poster, 1280x720, of the LaserDisc Games (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #279eef; neon rim light; glowing marquee sign reading "LaserDisc Games". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	279eef	F6DD08,800000,FF0000,303030
lcdgames	Detailed pixel-art poster, 1280x720, of the LCD Games (Various Various) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #CE413E; neon rim light; glowing marquee sign reading "LCD Games". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	CE413E	B3A98B,A24F41,C3C9C7,3D6F78
lowresnx	Detailed pixel-art poster, 1280x720, of the LowRes NX (Timo Kloss 2017) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #00AAAA; neon rim light; glowing marquee sign reading "LowRes NX". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	00AAAA	FF8300,56A0A2,F8EA32,FF5700
lutris	Detailed pixel-art poster, 1280x720, of the Lutris (M. Comandon 2010) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #AA9D96; neon rim light; glowing marquee sign reading "Lutris". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	AA9D96	FF9900,704631,222222,FFB700
lutro	Detailed pixel-art poster, 1280x720, of the Lutro (libretro 2015) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #926183; neon rim light; glowing marquee sign reading "Lutro". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	926183	74282B,AE353A,F2D8B5,00007F
macintosh	Detailed pixel-art poster, 1280x720, of the Macintosh (Apple 1984) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #12a3df; neon rim light; glowing marquee sign reading "Macintosh". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	12a3df	76B845,E19433,009DDD,C45152
mame-advmame	Detailed pixel-art poster, 1280x720, of the AdvanceMAME (MAME 1998) emulator as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5a64bb; neon rim light; glowing marquee sign reading "AdvanceMAME". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5a64bb	00ADEF,84849C,231F20,FFFFFF
mame	Detailed pixel-art poster, 1280x720, of the MAME (MAME Team 1997) emulator as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5a64bb; neon rim light; glowing marquee sign reading "MAME". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5a64bb	00ADEF,84849C,231F20,FFFFFF
mark3	Detailed pixel-art poster, 1280x720, of the Mark III (Sega 1985) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #198AC8; neon rim light; glowing marquee sign reading "Mark III". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	198AC8	95897A,D8B945,447094,CBCBCB
mastersystem	Detailed pixel-art poster, 1280x720, of the Master System (Sega 1986) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #ca4c39; neon rim light; glowing marquee sign reading "Master System". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	ca4c39	CBCBCB,165193,E60000,1A1A1A
megacd	Detailed pixel-art poster, 1280x720, of the Mega CD (Sega 1993) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Mega CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	DCE3E6,D5202C,C0C1C4,212122
megacdjp	Detailed pixel-art poster, 1280x720, of the Mega-CD (Sega 1991) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Mega-CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	5A97D0,1D46A5,DEAD2C,732A46
megadrive	Detailed pixel-art poster, 1280x720, of the Mega Drive (Sega 1990) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Mega Drive". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	,,,
megadrivejp	Detailed pixel-art poster, 1280x720, of the Mega Drive (Sega 1988) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Mega Drive". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	,,,
megaduck	Detailed pixel-art poster, 1280x720, of the Mega Duck (Welback 1993) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #099eb0; neon rim light; glowing marquee sign reading "Mega Duck". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	099eb0	415E81,EAEAEA,51BABB,819B73
mess	Detailed pixel-art poster, 1280x720, of the MESS (MESS Team 1998) emulator as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B60B7; neon rim light; glowing marquee sign reading "MESS". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B60B7	FFA102,A05F00,FFEFD5,FFD183
model2	Detailed pixel-art poster, 1280x720, of the Sega Model 2 (Sega 1993) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3b96ef; neon rim light; glowing marquee sign reading "Sega Model 2". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3b96ef	034693,F7ED18,F4133D,199A40
model3	Detailed pixel-art poster, 1280x720, of the Sega Model 3 (Sega 1996) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3b96ef; neon rim light; glowing marquee sign reading "Sega Model 3". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3b96ef	034693,FFFFFF,000000,4C9EFB
moonlight	Detailed pixel-art poster, 1280x720, of the this system (CWR University 2014) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #738092; neon rim light; glowing marquee sign reading "this system". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	738092	82BD0F,003366,A4A1A4,DEDDDE
moto	Detailed pixel-art poster, 1280x720, of the Thomson MOTO (Thomson SA 1984) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2a539c; neon rim light; glowing marquee sign reading "Thomson MOTO". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2a539c	E6F0EF,F0C73B,4F8E5C,2C2D2C
msx	Detailed pixel-art poster, 1280x720, of the MSX (Microsoft 1983) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #279fed; neon rim light; glowing marquee sign reading "MSX". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	279fed	EAD598,212324,656266,DEE0E0
msx1	Detailed pixel-art poster, 1280x720, of the MSX 1 (Microsoft 1983) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #279fed; neon rim light; glowing marquee sign reading "MSX 1". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	279fed	EAD598,212324,656266,DEE0E0
msx2	Detailed pixel-art poster, 1280x720, of the MSX 2 (Microsoft 1985) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #279fed; neon rim light; glowing marquee sign reading "MSX 2". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	279fed	D6D4D4,B7B7B7,515050,2323DC
msxturbor	Detailed pixel-art poster, 1280x720, of the MSX Turbo R (Microsoft 1991) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3F599B; neon rim light; glowing marquee sign reading "MSX Turbo R". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3F599B	637080,28292B,99784B,32100F
mugen	Detailed pixel-art poster, 1280x720, of the M.U.G.E.N (Elecbyte 1999) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4283A4; neon rim light; glowing marquee sign reading "M.U.G.E.N". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4283A4	B5B8F1,E5F5FE,FFFFFF,A1B687
multivision	Detailed pixel-art poster, 1280x720, of the Othello Multivision (Tsukuda Original 1983) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4959A0; neon rim light; glowing marquee sign reading "Othello Multivision". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4959A0	EFEBE1,571229,183B67,E8E342
n3ds	Detailed pixel-art poster, 1280x720, of the Nintendo 3DS (Nintendo 2011) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #667481; neon rim light; glowing marquee sign reading "Nintendo 3DS". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	667481	929497,C02424,221D1F,347A7A
n64	Detailed pixel-art poster, 1280x720, of the Nintendo 64 (Nintendo 1996) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0da25e; neon rim light; glowing marquee sign reading "Nintendo 64". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0da25e	143F9E,00935C,CA2E39,E1C245
n64dd	Detailed pixel-art poster, 1280x720, of the 64DD (Nintendo 1999) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0da25e; neon rim light; glowing marquee sign reading "64DD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0da25e	DCAF36,268340,20317F,B73E3A
naomi	Detailed pixel-art poster, 1280x720, of the Naomi (Sega 1998) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #fa860a; neon rim light; glowing marquee sign reading "Naomi". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	fa860a	E4E7D7,FD95B0,48B3EB,35FF90
naomi2	Detailed pixel-art poster, 1280x720, of the Naomi 2 (Sega 2000) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #fa860a; neon rim light; glowing marquee sign reading "Naomi 2". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	fa860a	E4E7D7,FD95B0,48B3EB,35FF90
naomigd	Detailed pixel-art poster, 1280x720, of the Naomi GD-ROM (Sega 1998) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #fa860a; neon rim light; glowing marquee sign reading "Naomi GD-ROM". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	fa860a	E4E7D7,A39B7C,C75433,243551
nds	Detailed pixel-art poster, 1280x720, of the Nintendo DS (Nintendo 2004) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #b3c8d5; neon rim light; glowing marquee sign reading "Nintendo DS". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	b3c8d5	5C67A9,280FBE,BCBCBC,212121
neogeo	Detailed pixel-art poster, 1280x720, of the Neo Geo (SNK 1990) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #7c818c; neon rim light; glowing marquee sign reading "Neo Geo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	7c818c	BF9328,494949,2D2D2D,E8E2E9
neogeocd	Detailed pixel-art poster, 1280x720, of the Neo Geo CD (SNK 1994) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #af98e6; neon rim light; glowing marquee sign reading "Neo Geo CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	af98e6	878880,FFD400,0088CD,24241E
neogeocdjp	Detailed pixel-art poster, 1280x720, of the Neo Geo CD (SNK 1994) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #af98e6; neon rim light; glowing marquee sign reading "Neo Geo CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	af98e6	878880,FFD400,0088CD,24241E
nes	Detailed pixel-art poster, 1280x720, of the Nintendo (Nintendo 1985) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c43d41; neon rim light; glowing marquee sign reading "Nintendo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c43d41	CD3332,FFFFFF,666666,212121
nesh	Detailed pixel-art poster, 1280x720, of the Nintendo Hacks (Nintendo 1985) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #B93041; neon rim light; glowing marquee sign reading "Nintendo Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	B93041	CD3332,FFFFFF,666666,212121
ngage	Detailed pixel-art poster, 1280x720, of the N-Gage (Nokia 2003) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #d37530; neon rim light; glowing marquee sign reading "N-Gage". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	d37530	F6DD08,800000,FF0000,303030
ngp	Detailed pixel-art poster, 1280x720, of the Neo Geo Pocket (SNK 1998) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #f4a141; neon rim light; glowing marquee sign reading "Neo Geo Pocket". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	f4a141	B2B8BD,E92A30,25374A,0F1520
ngpc	Detailed pixel-art poster, 1280x720, of the Neo Geo Pocket Color (SNK 1999) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #f2a243; neon rim light; glowing marquee sign reading "Neo Geo Pocket Color". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	f2a243	E92A30,18A94E,1D9ED8,25374A
now-playing	Detailed pixel-art poster, 1280x720, of the Now Playing (Various Various) collection as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "Now Playing". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
odyssey2	Detailed pixel-art poster, 1280x720, of the Odyssey² (Magnavox 1978) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #fa860a; neon rim light; glowing marquee sign reading "Odyssey²". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	fa860a	8C1914,89918F,DC3114,F8D239
openbor	Detailed pixel-art poster, 1280x720, of the Open Beats of Rage (Senile Team 2003) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #189c8a; neon rim light; glowing marquee sign reading "Open Beats of Rage". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	189c8a	E17930,407AC0,EBE470,404040
oric	Detailed pixel-art poster, 1280x720, of the Oric (Tangerine 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #7C848D; neon rim light; glowing marquee sign reading "Oric". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	7C848D	BFB8A8,207EA4,77776D,9E9C8F
palm	Detailed pixel-art poster, 1280x720, of the Palm (Palm Inc 1997) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #324A42; neon rim light; glowing marquee sign reading "Palm". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	324A42	B2AFAC,242443,345A89,363636
pc	Detailed pixel-art poster, 1280x720, of the IBM PC (IBM 1981) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3161BC; neon rim light; glowing marquee sign reading "IBM PC". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3161BC	1F70C1,FFFFFF,666870,201D1D
pc88	Detailed pixel-art poster, 1280x720, of the PC-88 (NEC 1981) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3C518B; neon rim light; glowing marquee sign reading "PC-88". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3C518B	B6A781,342B22,938CAA,77B7C6
pc98	Detailed pixel-art poster, 1280x720, of the PC-98 (NEC 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5185B2; neon rim light; glowing marquee sign reading "PC-98". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5185B2	951610,16643C,00499A,3B3431
pcarcade	Detailed pixel-art poster, 1280x720, of the PC Arcade Games (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B60B7; neon rim light; glowing marquee sign reading "PC Arcade Games". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B60B7	F6DD08,800000,FF0000,303030
pcengine	Detailed pixel-art poster, 1280x720, of the PC Engine (NEC 1987) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c64c3f; neon rim light; glowing marquee sign reading "PC Engine". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c64c3f	B2B2B2,FE0000,333333,D9D9D9
pcenginecd	Detailed pixel-art poster, 1280x720, of the PC Engine CD-ROM² (NEC 1988) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5a8dca; neon rim light; glowing marquee sign reading "PC Engine CD-ROM²". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5a8dca	B2B2B2,FE0000,333333,D9D9D9
pcfx	Detailed pixel-art poster, 1280x720, of the PC-FX (NEC 1994) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #9480de; neon rim light; glowing marquee sign reading "PC-FX". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	9480de	FEC101,01015B,5C3073,F00020
pico8	Detailed pixel-art poster, 1280x720, of the PICO-8 (Lexaloffle 2015) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #24192C; neon rim light; glowing marquee sign reading "PICO-8". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	24192C	E69E20,77DF41,F0D7BD,DF739E
playdate	Detailed pixel-art poster, 1280x720, of the Playdate (Panic 2022) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #6c00ff; neon rim light; glowing marquee sign reading "Playdate". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	6c00ff	6c00ff,ffc833,6c00ff,ffc833
plus4	Detailed pixel-art poster, 1280x720, of the Commodore Plus/4 (Commodore 1984) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #538db0; neon rim light; glowing marquee sign reading "Commodore Plus/4". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	538db0	BBAD93,968971,FD4120,00A0C6
pokemini	Detailed pixel-art poster, 1280x720, of the Pokémon Mini (Nintendo 2001) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #415289; neon rim light; glowing marquee sign reading "Pokémon Mini". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	415289	FCE200,004F8A,999998,8C8C8C
ports	Detailed pixel-art poster, 1280x720, of the Ports (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3161BC; neon rim light; glowing marquee sign reading "Ports". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3161BC	4F5054,737375,F4BE46,E45B12
