system	prompt	primary_color	palette
ps2	Detailed pixel-art poster, 1280x720, of the PlayStation 2 (Sony 2000) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2a68c3; neon rim light; glowing marquee sign reading "PlayStation 2". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2a68c3	33438A,0098DF,40A9A8,849DCA
ps3	Detailed pixel-art poster, 1280x720, of the PlayStation 3 (Sony 2006) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #317be1; neon rim light; glowing marquee sign reading "PlayStation 3". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	317be1	94B8F2,1A15FF,0095D5,3DD3C8
ps4	Detailed pixel-art poster, 1280x720, of the PlayStation 4 (Sony 2013) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #166fc7; neon rim light; glowing marquee sign reading "PlayStation 4". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	166fc7	18191E,5B6171,0123A1,EBECEE
psp	Detailed pixel-art poster, 1280x720, of the PlayStation Portable (Sony 2004) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #336aab; neon rim light; glowing marquee sign reading "PlayStation Portable". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	336aab	313131,0F1012,97A9BA,F9F7F7
psvita	Detailed pixel-art poster, 1280x720, of the PlayStation Vita (Sony 2011) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0561c3; neon rim light; glowing marquee sign reading "PlayStation Vita". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0561c3	03477C,6CAAD8,D0DFF2,2C2C2C
psx	Detailed pixel-art poster, 1280x720, of the PlayStation (Sony 1994) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #878b8f; neon rim light; glowing marquee sign reading "PlayStation". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	878b8f	DC0029,F1C002,00A79B,326BB1
pv1000	Detailed pixel-art poster, 1280x720, of the PV-1000 (Casio 1983) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #9e3830; neon rim light; glowing marquee sign reading "PV-1000". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	9e3830	2A4E78,4FBBB2,DCD9D1,D13931
quake	Detailed pixel-art poster, 1280x720, of the Quake (id Software 1996) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #B32E34; neon rim light; glowing marquee sign reading "Quake". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	B32E34	905630,6A3822,3A0901,111111
samcoupe	Detailed pixel-art poster, 1280x720, of the SAM Coupé (MGT 1989) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #597FC1; neon rim light; glowing marquee sign reading "SAM Coupé". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	597FC1	2A46A5,C60000,D3D8D3,96958C
satellaview	Detailed pixel-art poster, 1280x720, of the Satellaview (Nintendo 1995) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #d9ac3b; neon rim light; glowing marquee sign reading "Satellaview". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	d9ac3b	37336C,CD2943,FFDF68,647A54
saturn	Detailed pixel-art poster, 1280x720, of the Sega Saturn (Sega 1995) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #567ddd; neon rim light; glowing marquee sign reading "Sega Saturn". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	567ddd	0D7176,D1AE44,2740A5,86254A
saturnjp	Detailed pixel-art poster, 1280x720, of the Sega Saturn (Sega 1994) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #567ddd; neon rim light; glowing marquee sign reading "Sega Saturn". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	567ddd	4FA66A,FDE862,2E5CCF,BD3786
scummvm	Detailed pixel-art poster, 1280x720, of the ScummVM (ScummVM 2001) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4cac54; neon rim light; glowing marquee sign reading "ScummVM". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4cac54	FFEB32,F17C38,EFEDE3,95C93E
scv	Detailed pixel-art poster, 1280x720, of the Super Cassette Vision (Epoch Co. 1984) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #6d9b4c; neon rim light; glowing marquee sign reading "Super Cassette Vision". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	6d9b4c	FF8300,56A0A2,F8EA32,FF5700
sega32x	Detailed pixel-art poster, 1280x720, of the Mega Drive 32X (Sega 1994) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Mega Drive 32X". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	DCE3E6,D5202C,C0C1C4,212122
sega32xjp	Detailed pixel-art poster, 1280x720, of the Super 32X (Sega 1994) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Super 32X". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	6177B3,1D46A5,F2BA5C,FBE627
sega32xna	Detailed pixel-art poster, 1280x720, of the Sega 32X (Sega 1994) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Sega 32X". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	0084E2,ED0A0A,FFE607,212122
segacd	Detailed pixel-art poster, 1280x720, of the Sega CD (Sega 1992) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0374d1; neon rim light; glowing marquee sign reading "Sega CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0374d1	4B95D1,2B83C5,B2AE85,212122
sfc	Detailed pixel-art poster, 1280x720, of the Super Famicom (Nintendo 1990) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3f55a0; neon rim light; glowing marquee sign reading "Super Famicom". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3f55a0	FED01B,BA2318,0A2A8D,007544
sg-1000	Detailed pixel-art poster, 1280x720, of the SG-1000 (Sega 1983) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4559a2; neon rim light; glowing marquee sign reading "SG-1000". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4559a2	FF0000,17569B,D4D6C9,1A1E21
sgb	Detailed pixel-art poster, 1280x720, of the Super Game Boy (Nintendo 1994) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3c528d; neon rim light; glowing marquee sign reading "Super Game Boy". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3c528d	30308F,D9D9D9,EA2427,A3A3A3
snes	Detailed pixel-art poster, 1280x720, of the Super Nintendo (Nintendo 1992) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #df5142; neon rim light; glowing marquee sign reading "Super Nintendo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	df5142	FED01B,BA2318,0A2A8D,007544
snesh	Detailed pixel-art poster, 1280x720, of the Super Nintendo Hacks (Nintendo 1992) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #df5142; neon rim light; glowing marquee sign reading "Super Nintendo Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	df5142	FED01B,BA2318,0A2A8D,007544
snesna	Detailed pixel-art poster, 1280x720, of the Super Nintendo (Nintendo 1991) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #746bb2; neon rim light; glowing marquee sign reading "Super Nintendo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	746bb2	A59EF7,47449E,CCCCCC,4C4C4C
snesnah	Detailed pixel-art poster, 1280x720, of the Super Nintendo Hacks (Nintendo 1991) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #746bb2; neon rim light; glowing marquee sign reading "Super Nintendo Hacks". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	746bb2	A59EF7,47449E,CCCCCC,4C4C4C
solarus	Detailed pixel-art poster, 1280x720, of the Solarus (Christopho 2021) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #271658; neon rim light; glowing marquee sign reading "Solarus". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	271658	37336C,CD2943,FFDF68,647A54
spectravideo	Detailed pixel-art poster, 1280x720, of the Spectravideo (Spectravideo 1983) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #C12E3D; neon rim light; glowing marquee sign reading "Spectravideo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	C12E3D	B74E6C,C23435,D17733,E9E439
steam	Detailed pixel-art poster, 1280x720, of the Steam (Valve 2003) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #8a52cb; neon rim light; glowing marquee sign reading "Steam". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	8a52cb	2F3B50,0A7CAF,EEEEEE,2A2E33
stratagus	Detailed pixel-art poster, 1280x720, of the Stratagus (Stratagus Team 1998) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #CE3D3D; neon rim light; glowing marquee sign reading "Stratagus". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	CE3D3D	A40000,DB4C4C,F57900,26353C
stv	Detailed pixel-art poster, 1280x720, of the ST-V (Sega 1994) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #47569e; neon rim light; glowing marquee sign reading "ST-V". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	47569e	034693,F7ED18,F4133D,199A40
sufami	Detailed pixel-art poster, 1280x720, of the SuFami Turbo (Bandai 1996) peripheral as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3f55a0; neon rim light; glowing marquee sign reading "SuFami Turbo". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3f55a0	FF0000,EDDFDE,A0C0CF,1E2881
supergrafx	Detailed pixel-art poster, 1280x720, of the SuperGrafx (NEC 1989) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #61b1df; neon rim light; glowing marquee sign reading "SuperGrafx". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	61b1df	B2B2B2,0091AD,000000,D9D9D9
supervision	Detailed pixel-art poster, 1280x720, of the Supervision (Watara 1992) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2ba9a1; neon rim light; glowing marquee sign reading "Supervision". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2ba9a1	000000,718E2C,9A9A9A,00FFEE
supracan	Detailed pixel-art poster, 1280x720, of the Super A'can (Funtech 1995) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0DBD91; neon rim light; glowing marquee sign reading "Super A'can". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0DBD91	F6DD08,800000,FF0000,303030
switch	Detailed pixel-art poster, 1280x720, of the Nintendo Switch (Nintendo 2017) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #ff6550; neon rim light; glowing marquee sign reading "Nintendo Switch". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	ff6550	DA4A4B,65BADE,000000,EBECEE
symbian	Detailed pixel-art poster, 1280x720, of the Symbian (Symbian Ltd. 1997) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #222222; neon rim light; glowing marquee sign reading "Symbian". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	222222	0082B5,FBAB18,1F4394,EE3537
tanodragon	Detailed pixel-art poster, 1280x720, of the Tano Dragon (Dragon Data 1984) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #309496; neon rim light; glowing marquee sign reading "Tano Dragon". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	309496	F50019,FBFA35,74B719,3262D9
tg-cd	Detailed pixel-art poster, 1280x720, of the TurboGrafx-CD (NEC 1989) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B6559; neon rim light; glowing marquee sign reading "TurboGrafx-CD". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B6559	F79226,D5E14D,604832,1E1C1A
tg16	Detailed pixel-art poster, 1280x720, of the TurboGrafx-16 (NEC 1989) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5B6559; neon rim light; glowing marquee sign reading "TurboGrafx-16". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5B6559	F79226,ECF332,FD5A17,D5E14D
ti99	Detailed pixel-art poster, 1280x720, of the TI-99/4 (TI 1981) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5F6165; neon rim light; glowing marquee sign reading "TI-99/4". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5F6165	AAA6A7,C7C2BE,1F1F1F,FD7F34
tic80	Detailed pixel-art poster, 1280x720, of the TIC-80 (Vadim Grigoruk 2017) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #140C1C; neon rim light; glowing marquee sign reading "TIC-80". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	140C1C	4E76B4,C5494A,C7772F,65A33D
to8	Detailed pixel-art poster, 1280x720, of the Thomson TO8 (Thomson SA 1986) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2a539c; neon rim light; glowing marquee sign reading "Thomson TO8". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2a539c	E6F0EF,F0C73B,4F8E5C,2C2D2C
tools	Detailed pixel-art poster, 1280x720, of the Tools (Various Various) folder as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #333333; neon rim light; glowing marquee sign reading "Tools". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	333333	,,,
triforce	Detailed pixel-art poster, 1280x720, of the Triforce Arcade (Sega 2002) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #9c6faa; neon rim light; glowing marquee sign reading "Triforce Arcade". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	9c6faa	7B79AA,524C82,CBC9E0,1E1C11
trs-80	Detailed pixel-art poster, 1280x720, of the TRS-80 (Tandy Corp. 1977) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5E6064; neon rim light; glowing marquee sign reading "TRS-80". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5E6064	233D98,A8AAAE,CE2027,0F7C3E
type-x	Detailed pixel-art poster, 1280x720, of the Taito Type X (Sega 2004) arcade as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2278c0; neon rim light; glowing marquee sign reading "Taito Type X". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2278c0	F6DD08,800000,FF0000,303030
uzebox	Detailed pixel-art poster, 1280x720, of the Uzebox (Belogic 2008) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #CE3D3D; neon rim light; glowing marquee sign reading "Uzebox". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	CE3D3D	C43F32,EDC63D,C9C2BF,07336A
vectrex	Detailed pixel-art poster, 1280x720, of the Vectrex (Smith Eng. 1982) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4794dc; neon rim light; glowing marquee sign reading "Vectrex". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4794dc	EEF020,EC1D25,11192E,166FC1
vic20	Detailed pixel-art poster, 1280x720, of the VIC-20 (Commodore 1980) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #286d98; neon rim light; glowing marquee sign reading "VIC-20". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	286d98	896841,D3D3C9,FFCD1C,DC2770
videopac	Detailed pixel-art poster, 1280x720, of the Videopac (Philips 1978) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #38435e; neon rim light; glowing marquee sign reading "Videopac". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	38435e	F6DD08,800000,FF0000,4C504E
vircon32	Detailed pixel-art poster, 1280x720, of the Vircon32 (Carra 2021) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3F616F; neon rim light; glowing marquee sign reading "Vircon32". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3F616F	80B3FF,00FFFF,5FD38D,66FF00
virtualboy	Detailed pixel-art poster, 1280x720, of the Virtual Boy (Nintendo 1995) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #f05148; neon rim light; glowing marquee sign reading "Virtual Boy". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	f05148	363636,FE0016,8A8C8E,232323
vpinball	Detailed pixel-art poster, 1280x720, of the Visual Pinball (Visual Pinball 2000) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #7dc7ea; neon rim light; glowing marquee sign reading "Visual Pinball". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	7dc7ea	F6DD08,800000,FF0000,303030
vsmile	Detailed pixel-art poster, 1280x720, of the V.Smile (VTech 2004) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #544D77; neon rim light; glowing marquee sign reading "V.Smile". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	544D77	007CB3,8A6AA2,CBCFD0,F0973A
wasm4	Detailed pixel-art poster, 1280x720, of the WASM-4 (Bruno Garcia 2022) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #3A4E25; neon rim light; glowing marquee sign reading "WASM-4". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	3A4E25	688535,D3E3B7,4B5E2C,8FC038
wii	Detailed pixel-art poster, 1280x720, of the Wii (Nintendo 2006) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #78c6eb; neon rim light; glowing marquee sign reading "Wii". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	78c6eb	24A9E2,D1D1D1,005C9A,1E1C1A
wiiu	Detailed pixel-art poster, 1280x720, of the Wii U (Nintendo 2012) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #53a7d4; neon rim light; glowing marquee sign reading "Wii U". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	53a7d4	1F9EBB,3783BC,DDDCDC,9D8354
windows	Detailed pixel-art poster, 1280x720, of the Windows (Microsoft 1985) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2da7e0; neon rim light; glowing marquee sign reading "Windows". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2da7e0	F8682C,91C300,00B4F1,FFC300
windows3x	Detailed pixel-art poster, 1280x720, of the Windows 3.X (Microsoft 1992) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2da6e2; neon rim light; glowing marquee sign reading "Windows 3.X". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2da6e2	F8682C,91C300,00B4F1,FFC300
windows9x	Detailed pixel-art poster, 1280x720, of the Windows 9X (Microsoft 1998) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #6d99bf; neon rim light; glowing marquee sign reading "Windows 9X". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	6d99bf	F8682C,91C300,00B4F1,FFC300
wonderswan	Detailed pixel-art poster, 1280x720, of the WonderSwan (Bandai 1999) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #72c4bf; neon rim light; glowing marquee sign reading "WonderSwan". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	72c4bf	8797A4,DBE0E1,E72835,282827
wonderswancolor	Detailed pixel-art poster, 1280x720, of the WonderSwan Color (Bandai 2000) portable as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #38a8ea; neon rim light; glowing marquee sign reading "WonderSwan Color". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	38a8ea	009CD4,EBA743,D65757,162B4F
x1	Detailed pixel-art poster, 1280x720, of the X1 (Sharp 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #c2433a; neon rim light; glowing marquee sign reading "X1". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	c2433a	752421,4A90CB,C1C3D1,28333D
x68000	Detailed pixel-art poster, 1280x720, of the X68000 (Sharp 1987) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #6b6c71; neon rim light; glowing marquee sign reading "X68000". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	6b6c71	3B3B3B,838582,C25F7F,41BC83
xbox	Detailed pixel-art poster, 1280x720, of the Xbox (Microsoft 2001) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #66a853; neon rim light; glowing marquee sign reading "Xbox". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	66a853	CDDF01,9ABF5E,534F57,000000
xbox360	Detailed pixel-art poster, 1280x720, of the Xbox 360 (Microsoft 2005) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #91a919; neon rim light; glowing marquee sign reading "Xbox 360". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	91a919	92C83E,CECECE,2FA74D,9D9FA2
xboxone	Detailed pixel-art poster, 1280x720, of the Xbox One (Microsoft 2013) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #0099D7; neon rim light; glowing marquee sign reading "Xbox One". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	0099D7	F5F8F8,CECECE,107C10,7CB74E
zmachine	Detailed pixel-art poster, 1280x720, of the Z-machine (J. Berez & M. Blank 1979) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #000000; neon rim light; glowing marquee sign reading "Z-machine". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	000000	333333,48DBCE,C1C1BE,586C6D
zx81	Detailed pixel-art poster, 1280x720, of the ZX81 (Sinclair 1981) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #B92E34; neon rim light; glowing marquee sign reading "ZX81". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	B92E34	EF5857,403E4B,D2CECD,191222
zxnext	Detailed pixel-art poster, 1280x720, of the ZX Spectrum Next (SpecNext Ltd. 2017) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #32323D; neon rim light; glowing marquee sign reading "ZX Spectrum Next". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	32323D	CA2825,EDBA01,009C37,02559C
zxspectrum	Detailed pixel-art poster, 1280x720, of the ZX Spectrum (Sinclair 1982) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #9a2514; neon rim light; glowing marquee sign reading "ZX Spectrum". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	9a2514	CA2825,EDBA01,009C37,02559C
